disease,symptoms,prevention,when_to_see_doctor,home_care,severity,age_group,category,rural_prevalence,govt_free_treatment,recommended_facility
Anemia,"fatigue, weakness, pale skin, dizziness, shortness of breath, cold hands and feet, brittle nails, headache","Iron-rich diet (green leafy vegetables, jaggery, dates), Iron-Folic Acid supplements, deworming every 6 months","If severe fatigue, very pale skin, rapid heartbeat, chest pain, fainting","Iron-Folic Acid tablets (free from ASHA), eat iron-rich foods, vitamin C for absorption, deworming","moderate","all ages (esp. women)","Nutritional","Very high in rural women","yes","PHC / Sub-Centre"
Chickenpox,"itchy rash starting on face/trunk, fluid-filled blisters, fever, fatigue, headache, loss of appetite","Varicella vaccination, avoid contact with infected persons, isolate infected patient","If high fever persists, rash becomes infected (pus), difficulty breathing, confusion","Calamine lotion for itching, paracetamol for fever, keep nails short, oatmeal baths, stay hydrated","mild","children","Infectious","Moderate","partial","PHC"
Conjunctivitis (Eye Flu),"red eyes, itchy eyes, watery eyes, eye discharge, swollen eyelids, gritty feeling in eyes","Wash hands frequently, avoid touching eyes, don't share towels/pillows, avoid swimming in contaminated water","If vision changes, severe pain, light sensitivity, symptoms last more than a week","Clean eyes with warm water, avoid contact lenses, don't rub eyes, cool compress, separate towels","mild","all ages","Infectious","High in monsoon","partial","PHC"
Skin Infection (Fungal),"itchy skin, red patches, scaling, ring-shaped rash, skin peeling in folds, cracking skin","Keep skin dry, wear clean cotton clothes, don't share personal items, maintain hygiene in skin folds","If rash spreads rapidly, signs of bacterial infection (pus, swelling), not responding to treatment","Keep affected area clean and dry, antifungal powder, change clothes daily, avoid tight clothing","mild","all ages","Dermatological","High in rural/humid","partial","PHC"
Malnutrition (Child Health Awareness),"poor growth, low weight for age, irritability, frequent infections, fatigue, swollen belly, thin limbs","Exclusive breastfeeding for 6 months, timely complementary feeding, balanced diet, growth monitoring at Anganwadi","If child is severely underweight, frequent infections, not growing, swollen feet, lethargy","Nutritious food (dal, rice, vegetables, egg), ready-to-use therapeutic food if available, Vitamin A supplementation","severe","children under 5","Nutritional","Very high in tribal","yes","NRC / District Hospital"
Cholera,"profuse watery diarrhea (rice-water stools), vomiting, dehydration, muscle cramps, rapid heartbeat","Drink boiled water, proper sanitation, oral cholera vaccination in outbreaks, wash hands with soap","If severe dehydration, diarrhea not stopping, vomiting prevents fluid intake, signs of shock","ORS continuously, small frequent sips of water, zinc tablets for children, seek ORS from ASHA immediately","critical","all ages","Waterborne","Outbreak-prone","yes","CHC / District Hospital"
Food Poisoning,"nausea, vomiting, diarrhea, stomach cramps, fever, weakness after eating contaminated food","Eat fresh properly cooked food, avoid stale food, refrigerate perishables, wash hands before eating","If vomiting/diarrhea lasts more than 2 days, blood in vomit/stool, signs of severe dehydration","ORS solution, rest, bland food when able to eat, avoid dairy and spicy food, stay hydrated","moderate","all ages","Foodborne","Moderate","partial","PHC"
Viral Fever (Common Viral Illness),"fever, body ache, headache, fatigue, mild cough, sore throat, weakness, chills","Hand hygiene, avoid close contact with sick persons, balanced diet, adequate sleep, flu vaccination","If fever persists beyond 5 days, very high fever, difficulty breathing, rash appears, symptoms worsen","Rest, plenty of fluids, paracetamol for fever, light nutritious food, warm water gargling","mild","all ages","Respiratory","Very high","partial","PHC"
Pneumonia,"cough with phlegm, fever, rapid breathing, chest pain, shortness of breath, fatigue, chills","Pneumococcal vaccination, hand hygiene, avoid smoking, treat underlying conditions, breastfeed infants","If breathing difficulty, high fever, chest pain, bluish lips, child stops eating/drinking","Rest, prescribed antibiotics (if bacterial), plenty of fluids, paracetamol for fever, monitor breathing","severe","all ages (esp. children/elderly)","Respiratory","High in rural","yes","CHC / District Hospital"
Asthma,"wheezing, chest tightness, shortness of breath, chronic cough (worse at night), difficulty breathing","Avoid triggers (dust, smoke, pollen), regular medication, asthma action plan, avoid cold air exposure","If inhaler not helping, difficulty speaking due to breathlessness, lips turning blue, severe attack","Use prescribed inhaler, sit upright, stay calm, avoid triggers, keep rescue inhaler accessible","moderate","all ages","Respiratory","Moderate","yes","PHC / CHC"
Bronchitis (Acute),"persistent cough with mucus, chest discomfort, fatigue, mild fever, sore throat, wheezing","Avoid smoking and secondhand smoke, flu vaccination, hand hygiene, avoid air pollution","If cough lasts more than 3 weeks, blood in mucus, high fever, breathing difficulty","Rest, warm fluids, steam inhalation, honey for cough, avoid cold drinks, humidifier if available","mild","all ages","Respiratory","Moderate","partial","PHC"
Tonsillitis (Sore Throat),"sore throat, difficulty swallowing, swollen tonsils, fever, bad breath, swollen lymph nodes, ear pain","Avoid sharing utensils, hand hygiene, avoid cold drinks when throat is sore, gargle with warm salt water","If difficulty breathing, unable to swallow, high fever, symptoms last more than a week, recurrent episodes","Warm salt water gargle, warm fluids, soft food, paracetamol for pain/fever, rest voice","mild","all ages","ENT","High","partial","PHC"
Sinusitis,"facial pain, blocked nose, thick nasal discharge, headache, reduced smell, toothache, fever","Treat colds early, avoid allergens, nasal saline rinse, avoid smoking, stay hydrated","If symptoms last more than 10 days, high fever, severe headache, vision changes, swelling around eyes","Steam inhalation, warm compress on face, saline nasal rinse, stay hydrated, paracetamol for pain","mild","all ages","ENT","Moderate","partial","PHC"
Migraine,"throbbing headache (one side), sensitivity to light, sensitivity to sound, nausea, vomiting, visual disturbances","Identify and avoid triggers, regular sleep schedule, stress management, regular meals, stay hydrated","If worst headache of life, headache with fever/stiff neck, sudden severe headache, weakness/numbness","Rest in dark quiet room, cold compress on forehead, paracetamol, stay hydrated, avoid triggers","moderate","adults","Neurological","Moderate","partial","PHC"
Gastritis / Acidity (GERD),"heartburn, burning pain in upper abdomen, nausea, bloating, acid taste in mouth, chest pain after eating","Avoid spicy/oily food, eat small frequent meals, don't lie down after eating, limit caffeine/alcohol, manage stress","If chest pain (rule out heart), difficulty swallowing, vomiting blood, weight loss, symptoms persist","Antacids, eat small meals, avoid trigger foods, elevate head while sleeping, don't eat before bed","mild","adults","GI","High in rural","partial","PHC"
Constipation,"hard stools, straining during bowel movement, infrequent bowel movements, bloating, abdominal discomfort","High-fiber diet (fruits, vegetables, whole grains), adequate water intake, regular exercise, don't ignore urge","If blood in stool, severe abdominal pain, no bowel movement for more than a week, unexplained weight loss","Increase fiber intake, drink 8+ glasses water daily, regular physical activity, warm water in morning","mild","all ages","GI","High in rural","partial","PHC"
Urinary Tract Infection (UTI),"burning urination, frequent urination, cloudy urine, strong-smelling urine, pelvic pain, low-grade fever","Drink plenty of water, urinate when needed (don't hold), wipe front to back (women), maintain hygiene","If fever with chills, back pain (kidney involvement), blood in urine, vomiting, pregnant","Drink lots of water, cranberry juice if available, complete prescribed antibiotics, urinate frequently","moderate","all ages (esp. women)","Urological","High in rural women","yes","PHC / CHC"
Kidney Stones,"severe side/back pain, blood in urine, painful urination, nausea, vomiting, frequent urination","Drink 2-3 liters water daily, reduce salt intake, limit oxalate-rich foods, maintain healthy weight","If severe pain not relieved by painkillers, fever with stone pain, unable to urinate, persistent vomiting","Drink plenty of water, pain relief with paracetamol, strain urine to catch stones, lemon water","severe","adults","Urological","Moderate","yes","CHC / District Hospital"
Dehydration,"dark urine, extreme thirst, dry mouth, dizziness, fatigue, less urine, sunken eyes, rapid heartbeat","Drink adequate water (8+ glasses), ORS during illness, increase fluids in hot weather, avoid excessive caffeine","If unable to keep fluids down, no urine for 8+ hours, sunken eyes, confusion, very rapid heartbeat","ORS solution in small frequent sips, coconut water, rice water, rest in shade, avoid sun exposure","moderate","all ages","Emergency","High in summer/monsoon","yes","PHC / CHC"
Heat Stroke,"hot dry skin, no sweating, high body temperature, confusion, rapid breathing, seizures, unconsciousness","Avoid peak sun hours (12-4 PM), wear light loose clothing, stay hydrated, avoid strenuous activity in heat","If body temperature above 104°F, confusion, unconsciousness, seizures — THIS IS AN EMERGENCY","Move to shade, pour cool water on body, fan aggressively, give fluids if conscious, rush to hospital","critical","all ages","Emergency","High in rural summer","yes","District Hospital"
Japanese Encephalitis,"high fever, headache, neck stiffness, seizures, confusion, tremors, paralysis, coma","JE vaccination for children, mosquito control, avoid pig farms at dusk, use bed nets","If high fever with neck stiffness, seizures, confusion, behavioral changes — EMERGENCY","No home treatment — rush to hospital immediately. Supportive care only at facility level.","critical","children","Vector-Borne","Endemic in some districts","yes","District Hospital"
Leptospirosis,"fever, headache, muscle pain (especially calves), red eyes, chills, jaundice, rash","Avoid wading in flood water, wear protective footwear, control rodent population, doxycycline prophylaxis","If fever after flood exposure, jaundice, severe muscle pain, red eyes, kidney involvement","Doxycycline if prescribed, rest, hydration, avoid contaminated water exposure","severe","all ages","Zoonotic","High in monsoon/floods","yes","CHC / District Hospital"
Scrub Typhus,"fever, headache, body ache, dark scab-like sore (eschar), rash, swollen lymph nodes","Avoid bushy/grassy areas, use insect repellent, clear vegetation around homes, wear protective clothing","If fever with eschar (dark sore), not responding to normal treatment, confusion, organ involvement","Doxycycline if prescribed, rest, fluids, paracetamol for fever","severe","all ages","Vector-Borne","Moderate in rural","yes","CHC / District Hospital"
Hepatitis A (Jaundice),"yellow eyes, yellow skin, dark urine, fatigue, nausea, vomiting, abdominal pain, loss of appetite, fever","Hepatitis A vaccination, safe drinking water, proper sanitation, hand hygiene, avoid raw shellfish","If severe vomiting, signs of liver failure (confusion, bleeding), jaundice worsening after 2 weeks","Rest, avoid fatty food, plenty of fluids, avoid alcohol, light meals, complete bed rest","moderate","all ages","Waterborne","High in rural","yes","CHC / District Hospital"
Measles,"rash starting on face spreading downward, high fever, red watery eyes, cough, runny nose, Koplik spots","MR (Measles-Rubella) vaccination at 9 months and 16-24 months, isolate infected child, avoid contact","If high fever not responding, difficulty breathing, ear infection, seizures, rash becomes infected","Paracetamol for fever, keep eyes clean, fluids, nutritious food, vitamin A supplementation, isolate","moderate","children","Infectious","Moderate","yes","PHC / CHC"
Intestinal Worms (Worm Infestation),"worms in stool, itchy anus (especially at night), abdominal pain, weight loss, anemia, poor appetite","Deworming every 6 months (Albendazole), wear shoes, wash hands, cook meat thoroughly, clean water","If visible worms, severe abdominal pain, persistent anemia not responding to iron, intestinal obstruction","Albendazole tablet (free from ASHA), hygiene measures, iron supplements if anemic","mild","children","Parasitic","Very high in rural","yes","PHC / Sub-Centre"
Scabies,"intense itching (worse at night), rash between fingers, wrist, waist, burrow tracks on skin, sores from scratching","Avoid skin-to-skin contact with infected person, wash clothes/bedding in hot water, treat whole family","If widespread rash, signs of secondary bacterial infection (pus, crusting), not responding to treatment","Permethrin cream (whole body, repeat after 1 week), wash all bedding/clothes, treat family members simultaneously","mild","all ages","Dermatological","High in crowded/rural","yes","PHC"
Osteoarthritis (Joint Pain),"joint stiffness (worse in morning), knee/hip pain, reduced range of motion, grinding sensation, swelling","Maintain healthy weight, regular low-impact exercise, avoid joint injury, calcium and vitamin D intake","If joint becomes red/hot, severe pain limiting daily activity, sudden worsening, locking of joint","Hot/cold compress, gentle exercise, weight management, paracetamol for pain, physiotherapy if available","moderate","elderly","NCD","High in rural elderly","partial","PHC / CHC"
Ear Infection (Otitis Media),"ear pain, fluid draining from ear, reduced hearing, fever, irritability in children, feeling of fullness","Keep ears dry, avoid inserting objects in ear, treat colds promptly, breastfeed infants, avoid smoking near children","If high fever, severe pain, pus/blood from ear, hearing loss, symptoms in infant under 6 months","Warm compress on ear, paracetamol for pain, keep ear dry, don't put oil/cotton in ear canal","moderate","children","ENT","High in rural children","yes","PHC"
Mumps,"swollen salivary glands (jaw/cheek), fever, headache, muscle aches, fatigue, pain while chewing/swallowing","MMR vaccination, avoid contact with infected person, cover mouth when coughing, hand hygiene","If severe headache, stiff neck, abdominal pain, testicular pain (males), high fever, hearing changes","Rest, soft food, cold compress on swollen glands, paracetamol for pain/fever, avoid sour foods, isolate","mild","children","Infectious","Moderate","partial","PHC"
Whooping Cough (Pertussis),"severe coughing fits, whooping sound when inhaling after cough, vomiting after coughing, runny nose, low fever","DPT vaccination (childhood), booster doses, avoid contact with infected persons, cover mouth when coughing","If infant under 6 months has cough, coughing turns blue, vomiting after cough, difficulty breathing","Humidified air, small frequent meals, keep calm during coughing fits, complete prescribed antibiotics","severe","infants/children","Infectious","Moderate","yes","CHC / District Hospital"
Appendicitis (Awareness),"pain starting around navel moving to lower right abdomen, loss of appetite, nausea, vomiting, low-grade fever, abdominal swelling","No specific prevention — early recognition is key. High-fiber diet may reduce risk.","If sudden pain in lower right abdomen, pain worsening with movement, vomiting, fever — SEEK IMMEDIATE CARE","No home treatment — do NOT give painkillers (masks symptoms). Rush to hospital for surgical evaluation.","critical","all ages","Surgical","Moderate","yes","District Hospital"
Mental Health (Stress & Anxiety) Awareness,"persistent worry, restlessness, difficulty sleeping, irritability, difficulty concentrating, fatigue, muscle tension","Regular exercise, adequate sleep, social connection, limit alcohol/caffeine, talk about problems, relaxation techniques","If unable to function daily, thoughts of self-harm, panic attacks, substance use, persistent sadness beyond 2 weeks","Deep breathing exercises, regular routine, physical activity, talk to trusted person, limit news/social media","moderate","adults","Mental Health","Underreported in rural","yes","PHC / District Hospital"
